Job Title,company_name,location,hiring_status,date,seniority_level,old description,employment_type,industry,cleaned_description,Job Description
Software Reverse Engineer,Kudu Dynamics LLC,"San Antonio, TX",Be an early applicant,2023-03-15,Entry level,engineering and information technology,Full-time,Computer and Network Security,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Senior Product Manager,Found By Few,"England, United Kingdom",Actively Hiring,2023-04-20,Mid-Senior level,design product management and health care provider,Full-time,"IT Services and IT Consulting, Wellness and Fitness Services, and Hospitals and Health Care",design product management health care provider,"['occupational health nurse', 'electronic health record ehr', 'occupational health safety specialist', 'occupational health specialist', 'ai mental health diagnosis']"
Executive Director,Confidential Jobs,"Cambridge, England, United Kingdom",Be an early applicant,2023-01-24,Executive,management and manufacturing,Full-time,Human Resources Services,management manufacturing,"['big datum manufacturing', 'risk management framework iso', 'influencer management', 'network security incident management', 'big datum access control management']"
Director India Institutional Operations Operations ,"
            Morgan Stanley
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-20,"
            Not Applicable
          ",product management and marketing ,"
          Full-time
        ","
          Transportation, Logistics, Supply Chain and Storage
          ",product management marketing,"['marketing budget management', 'product pricing analysis', 'product manager', 'ai e commerce product recommendation', 'email marketing platform']"
Full Stack Engineer,Venchr,"London, England, United Kingdom",Actively Hiring,2023-04-26,Associate,engineering and information technology,Full-time,IT Services and IT Consulting,engineering information technology,"['itil information technology infrastructure library', 'malware analysis reverse engineering', 'big datum feature engineering', 'privacy engineering', 'feature engineering']"
Maxposure Media Group Content Writer English Marathi,Maxposure Media Group,"Mumbai, Maharashtra, India",Be an early applicant,2023-04-26,Executive,marketing public relations and writing editing,Full-time,IT Services and IT Consulting,market public relation write editing,"['public relation specialist', 'security incident response team sirt incident recovery recovery public relation', 'security incident response team sirt incident public relation', 'public relation manager', 'security incident response team sirt incident recovery public relation']"
Administrative Professional Virtual Assistance BES ,"
            Integreon
          ","
            Mumbai, Maharashtra, India
          ","
         Be an early applicant
      ",2023-01-30,"
            Entry level
          ",administrative ,"
          Full-time
        ","
          Law Practice
          ",administrative,[]
Jr Project Process Engineer,Hiring Heads,"Mumbai, Maharashtra, India","
         Be an early applicant
      ",2023-03-16,Associate,management and manufacturing,Full-time,Chemical Manufacturing,management manufacturing,"['big datum manufacturing', 'risk management framework iso', 'influencer management', 'network security incident management', 'big datum access control management']"
Graphic Designer,The Lee Group,"Virginia Beach, VA","Actively Hiring
           +4�benefits",2023-04-17,Associate,art creative and design,Full-time,Manufacturing,art creative design,"['creative director', 'art director', 'art curator', 'art therapist', 'data schema design']"
HTML CSS ,"
            Merkle Sokrati
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-23,"
            Entry level
          ",design art creative and information technology ,"
          Full-time
        ","
          Advertising Services
          ",design art creative information technology,"['creative director', 'art therapist', 'art director', 'art curator', 'pcb design']"
