Job Title,old description,cleaned_description,Job Description
 Senior Software Engineer - Web Apps,"sql,project management,automation,agile,json,healthcare,monitoring,social media,test scripts,scheduling",sql project management automation agile json healthcare monitoring social medium test script scheduling,"['project scheduling', 'social medium management', 'social medium influencer marketing', 'social medium manager', 'network automation script python']"
 Real Estate Agent,"agent,real estate marketing,real estate,corporate real estate,real estate sales",agent real estate marketing real estate corporate real estate real estate sale,"['real time system', 'real time datum processing', 'real time analytic architecture', 'real time datum visualization', 'real time analytic big datum']"
 Dot Net Developer,"computer science,usage,web technologies,project management,programming,.net,microsoft,application software,sql",computer science usage web technology project management microsoft application software sql,"['microsoft sql server', 'project management', 'project management', 'data science project management tool', 'decentralize application dapps']"
 Php Developer,"mysql,cms,php,drupal,jquery,wordpress,html,cakephp,developer,joomla,ajax,magento",mysql cms php drupal jquery wordpress html cakephp developer joomla ajax magento,"['joomla', 'magento', 'drupal', 'wordpress', 'php']"
 Co-founder & CTO - Digital Health Domain,"java,android studio,ios,solution architect,startup,cto,android",java android studio io solution architect startup cto android,"['android development', 'io', 'io', 'io development', 'telemedicine solution']"
 Oracle EBS Finance Functional Consultant,"training,web technologies,finance,http,business solutions,oracle e-business suite,solution architect",training web technology finance http business solution oracle e business suite solution architect,"['fintech solution', 'telemedicine solution', 'http', 'datum warehousing solution', 'blockchain scalability solution']"
 Sr. Software Engineer_4 to 5 years_Bangalore_C2H,"c#,web technologies,asp.net,microsoft azure,mvc",technology microsoft azure mvc,"['microsoft azure', 'azure', 'cloud networking azure', 'microsoft sql server', 'azure ml']"
 Excellent Opp. for SQL Testers with US Based Company in Bangalore,"sql server,automation testing,manual testing,testing,sql",sql server automation testing manual testing testing sql,"['hypothesis testing', 'b testing', 'manual testing', 'integration testing system testing', 'b testing analysis']"
 Manager - Digital Sales,digital sales,digital sale,"['digital marketing', 'digital illustrator', 'digital marketing specialist', 'digital forensic', 'digital signal processing dsp']"
 Manual testing with Automation,"manual testing,automation testing,database testing",manual testing automation testing database testing,"['b testing', 'hypothesis testing', 'manual testing', 'integration testing system testing', 'b testing analysis']"
 Opportunity For Business Presenter - Need Good Communication Skills,"customer service,customer support,call center executive,customer care,international call center,voice process,communication skills",customer service customer support center executive customer care international center voice process communication skill,"['customer support', 'customer persona development', 'datum center design management', 'market customer', 'communication skill']"
 Ionic Mobile Developer - Hybrid Applications - Startup,"javascript,debugging,json,ios,react.js,android",javascript debugging json io android,"['io', 'io', 'json', 'io development', 'android development']"
 Change Management - Senior,"training,change management,proposal development,presentation skills,client communication,impact analysis,strategy,hr transformation,business development,organization restructuring",training change management proposal development presentation skill client communication impact analysis strategy hr transformation business development organization restructuring,"['presentation skill', 'planning organization', 'change management', 'datum transformation', 'datum interpretation business impact']"
